datetime,open,high,low,close,volume,float
2019-07-11,4.541,4.541,4.541,4.541,0.0,
2019-07-12,4.556,4.556,4.556,4.556,0.0,
2019-07-15,4.539,4.539,4.539,4.539,0.0,
2019-07-16,4.534,4.534,4.534,4.534,0.0,
2019-07-17,4.52,4.52,4.52,4.52,0.0,
2019-07-18,4.523,4.523,4.523,4.523,0.0,
2019-07-19,4.488,4.488,4.488,4.488,0.0,
2019-07-22,4.452,4.452,4.452,4.452,0.0,
2019-07-23,4.469,4.469,4.469,4.469,0.0,
2019-07-24,4.465,4.465,4.465,4.465,0.0,
2019-07-25,4.438,4.438,4.438,4.438,0.0,
2019-07-26,4.446,4.446,4.446,4.446,0.0,
2019-07-29,4.447,4.447,4.447,4.447,0.0,
2019-07-30,4.444,4.444,4.444,4.444,0.0,
2019-07-31,4.404,4.404,4.404,4.404,0.0,
2019-08-01,4.478,4.478,4.478,4.478,0.0,
2019-08-02,4.449,4.449,4.449,4.449,0.0,
2019-08-05,4.454,4.454,4.454,4.454,0.0,
2019-08-06,4.464,4.464,4.464,4.464,0.0,
2019-08-07,4.46,4.46,4.46,4.46,0.0,
2019-08-08,4.469,4.469,4.469,4.469,0.0,
2019-08-09,4.45,4.45,4.45,4.45,0.0,
2019-08-12,4.455,4.455,4.455,4.455,0.0,
2019-08-13,4.446,4.446,4.446,4.446,0.0,
2019-08-14,4.411,4.411,4.411,4.411,0.0,
2019-08-15,4.268,4.268,4.268,4.268,0.0,
2019-08-16,4.26,4.26,4.26,4.26,0.0,
2019-08-19,4.323,4.323,4.323,4.323,0.0,
2019-08-20,4.332,4.332,4.332,4.332,0.0,
2019-08-21,4.319,4.319,4.319,4.319,0.0,
2019-08-22,4.261,4.261,4.261,4.261,0.0,
2019-08-23,4.202,4.202,4.202,4.202,0.0,
2019-08-26,4.24,4.24,4.24,4.24,0.0,
2019-08-27,4.241,4.241,4.241,4.241,0.0,
2019-08-28,4.217,4.217,4.217,4.217,0.0,
2019-08-29,4.209,4.209,4.209,4.209,0.0,
2019-08-30,4.162,4.162,4.162,4.162,0.0,
2019-09-03,4.172,4.172,4.172,4.172,0.0,
2019-09-04,4.139,4.139,4.139,4.139,0.0,
2019-09-05,4.087,4.087,4.087,4.087,0.0,
2019-09-06,4.079,4.079,4.079,4.079,0.0,
2019-09-09,4.075,4.075,4.075,4.075,0.0,
2019-09-10,4.11,4.11,4.11,4.11,0.0,
2019-09-11,4.12,4.12,4.12,4.12,0.0,
2019-09-12,4.054,4.054,4.054,4.054,0.0,
2019-09-13,3.984,3.984,3.984,3.984,0.0,
2019-09-16,4.006,4.006,4.006,4.006,0.0,
2019-09-17,4.049,4.049,4.049,4.049,0.0,
2019-09-18,4.013,4.013,4.013,4.013,0.0,
2019-09-19,4.041,4.041,4.041,4.041,0.0,
2019-09-20,4.007,4.007,4.007,4.007,0.0,
2019-09-23,4.043,4.043,4.043,4.043,0.0,
2019-09-24,4.003,4.003,4.003,4.003,0.0,
2019-09-25,4.01,4.01,4.01,4.01,0.0,
2019-09-26,4.03,4.03,4.03,4.03,0.0,
2019-09-27,4.05,4.05,4.05,4.05,0.0,
2019-09-30,4.057,4.057,4.057,4.057,0.0,
2019-10-01,4.026,4.026,4.026,4.026,0.0,
2019-10-02,4.0,4.0,4.0,4.0,0.0,
2019-10-03,4.016,4.016,4.016,4.016,0.0,
2019-10-04,3.999,3.999,3.999,3.999,0.0,
2019-10-07,3.993,3.993,3.993,3.993,0.0,
2019-10-08,3.976,3.976,3.976,3.976,0.0,
2019-10-09,3.96,3.96,3.96,3.96,0.0,
2019-10-10,3.927,3.927,3.927,3.927,0.0,
2019-10-11,3.919,3.919,3.919,3.919,0.0,
2019-10-14,3.902,3.902,3.902,3.902,0.0,
2019-10-15,3.879,3.879,3.879,3.879,0.0,
2019-10-16,3.838,3.838,3.838,3.838,0.0,
2019-10-17,3.746,3.746,3.746,3.746,0.0,
2019-10-18,3.683,3.683,3.683,3.683,0.0,
2019-10-21,3.648,3.648,3.648,3.648,0.0,
2019-10-22,3.606,3.606,3.606,3.606,0.0,
2019-10-23,3.547,3.547,3.547,3.547,0.0,
2019-10-24,3.587,3.587,3.587,3.587,0.0,
2019-10-25,3.688,3.688,3.688,3.688,0.0,
2019-10-28,3.731,3.731,3.731,3.731,0.0,
2019-10-29,3.637,3.637,3.637,3.637,0.0,
2019-10-30,3.633,3.633,3.633,3.633,0.0,
2019-10-31,3.649,3.649,3.649,3.649,0.0,
2019-11-01,3.659,3.659,3.659,3.659,0.0,
2019-11-04,3.737,3.737,3.737,3.737,0.0,
2019-11-05,3.756,3.756,3.756,3.756,0.0,
2019-11-06,3.745,3.745,3.745,3.745,0.0,
2019-11-07,3.723,3.723,3.723,3.723,0.0,
2019-11-08,3.728,3.728,3.728,3.728,0.0,
2019-11-11,3.74,3.74,3.74,3.74,0.0,
2019-11-12,3.757,3.757,3.757,3.757,0.0,
2019-11-13,3.78,3.78,3.78,3.78,0.0,
2019-11-14,3.699,3.699,3.699,3.699,0.0,
2019-11-15,3.712,3.712,3.712,3.712,0.0,
2019-11-18,3.664,3.664,3.664,3.664,0.0,
2019-11-19,3.634,3.634,3.634,3.634,0.0,
2019-11-20,3.681,3.681,3.681,3.681,0.0,
2019-11-21,3.692,3.692,3.692,3.692,0.0,
2019-11-22,3.683,3.683,3.683,3.683,0.0,
2019-11-25,3.679,3.679,3.679,3.679,0.0,
2019-11-26,3.707,3.707,3.707,3.707,0.0,
2019-11-27,3.543,3.543,3.543,3.543,0.0,
2019-11-28,3.539,3.539,3.539,3.539,0.0,
2019-11-29,3.568,3.568,3.568,3.568,0.0,
2019-12-02,3.545,3.545,3.545,3.545,0.0,
2019-12-03,3.543,3.543,3.543,3.543,0.0,
2019-12-04,3.542,3.542,3.542,3.542,0.0,
2019-12-05,3.516,3.516,3.516,3.516,0.0,
2019-12-06,3.503,3.503,3.503,3.503,0.0,
2019-12-09,3.514,3.514,3.514,3.514,0.0,
2019-12-10,3.515,3.515,3.515,3.515,0.0,
2019-12-11,3.513,3.513,3.513,3.513,0.0,
2019-12-12,3.52,3.52,3.52,3.52,0.0,
2019-12-13,3.506,3.506,3.506,3.506,0.0,
2019-12-16,3.51,3.51,3.51,3.51,0.0,
2019-12-17,3.502,3.502,3.502,3.502,0.0,
2019-12-18,3.508,3.508,3.508,3.508,0.0,
2019-12-19,3.492,3.492,3.492,3.492,0.0,
2019-12-20,3.489,3.489,3.489,3.489,0.0,
2019-12-23,3.484,3.484,3.484,3.484,0.0,
2019-12-24,3.456,3.456,3.456,3.456,0.0,
2019-12-25,3.422,3.422,3.422,3.422,0.0,
2019-12-26,3.375,3.375,3.375,3.375,0.0,
2019-12-27,3.37,3.37,3.37,3.37,0.0,
2019-12-30,3.386,3.386,3.386,3.386,0.0,
2019-12-31,3.378,3.378,3.378,3.378,0.0,
2020-01-02,3.417,3.417,3.417,3.417,0.0,
2020-01-03,3.375,3.375,3.375,3.375,0.0,
2020-01-06,3.212,3.212,3.212,3.212,0.0,
2020-01-07,3.169,3.169,3.169,3.169,0.0,
2020-01-08,3.115,3.115,3.115,3.115,0.0,
2020-01-09,3.078,3.078,3.078,3.078,0.0,
2020-01-10,3.075,3.075,3.075,3.075,0.0,
2020-01-13,3.068,3.068,3.068,3.068,0.0,
2020-01-14,3.035,3.035,3.035,3.035,0.0,
2020-01-15,2.923,2.923,2.923,2.923,0.0,
2020-01-16,2.876,2.876,2.876,2.876,0.0,
2020-01-17,2.846,2.846,2.846,2.846,0.0,
2020-01-20,2.944,2.944,2.944,2.944,0.0,
2020-01-21,3.072,3.072,3.072,3.072,0.0,
2020-01-22,3.111,3.111,3.111,3.111,0.0,
2020-01-30,3.144,3.144,3.144,3.144,0.0,
2020-01-31,3.157,3.157,3.157,3.157,0.0,
2020-02-03,3.328,3.328,3.328,3.328,0.0,
2020-02-04,3.128,3.128,3.128,3.128,0.0,
